0,0,-0.039778,-0.039778,-0.039778
0.1,0.015915,-0.023871,-0.023871,-0.023871
0.2,0.031826,-0.0079577,-0.0079577,-0.0079577
0.3,0.047728,0.0079577,0.0079577,0.0079577
0.4,0.063619,0.023871,0.023871,0.023871
0.5,0.079494,0.039778,0.039778,0.039778
0.6,0.095348,0.055675,0.055675,0.055675
0.7,0.11118,0.071559,0.071559,0.071559
0.8,0.12698,0.087423,0.087423,0.087423
0.9,0.14275,0.10327,0.10327,0.10327
1,0.15848,0.11908,0.11908,0.11908
1.1,0.17418,0.13487,0.13487,0.13487
1.2,0.18983,0.15062,0.15062,0.15062
1.3,0.20543,0.16634,0.16634,0.16634
1.4,0.22098,0.18201,0.18201,0.18201
1.5,0.23647,0.19763,0.19763,0.19763
1.6,0.2519,0.21321,0.21321,0.21321
1.7,0.26727,0.22873,0.22873,0.22873
1.8,0.28258,0.2442,0.2442,0.2442
1.9,0.29781,0.2596,0.2596,0.2596
2,0.31296,0.27493,0.27493,0.27493
2.1,0.32804,0.2902,0.2902,0.2902
2.2,0.34303,0.30539,0.30539,0.30539
2.3,0.35794,0.32051,0.32051,0.32051
2.4,0.37275,0.33554,0.33554,0.33554
2.5,0.38747,0.35049,0.35049,0.35049
2.6,0.40209,0.36535,0.36535,0.36535
2.7,0.41661,0.38012,0.38012,0.38012
2.8,0.43103,0.3948,0.3948,0.3948
2.9,0.44534,0.40937,0.40937,0.40937
3,0.45953,0.42384,0.42384,0.42384
3.1,0.47361,0.4382,0.4382,0.4382
3.2,0.48756,0.45245,0.45245,0.45245
3.3,0.5014,0.46658,0.46658,0.46658
3.4,0.5151,0.4806,0.4806,0.4806
3.5,0.52868,0.49449,0.49449,0.49449
3.6,0.54212,0.50827,0.50827,0.50827
3.7,0.55542,0.52191,0.52191,0.52191
3.8,0.56859,0.53542,0.53542,0.53542
3.9,0.58161,0.54879,0.54879,0.54879
4,0.59448,0.56202,0.56202,0.56202
4.1,0.6072,0.57512,0.57512,0.57512
4.2,0.61977,0.58806,0.58806,0.58806
4.3,0.63218,0.60086,0.60086,0.60086
4.4,0.64443,0.61351,0.61351,0.61351
4.5,0.65652,0.626,0.626,0.626
4.6,0.66844,0.63833,0.63833,0.63833
4.7,0.68019,0.6505,0.6505,0.6505
4.8,0.69177,0.6625,0.6625,0.6625
4.9,0.70318,0.67434,0.67434,0.67434
5,0.71441,0.68601,0.68601,0.68601
5.1,0.72545,0.6975,0.6975,0.6975
5.2,0.73631,0.70882,0.70882,0.70882
5.3,0.74699,0.71995,0.71995,0.71995
5.4,0.75747,0.73091,0.73091,0.73091
5.5,0.76777,0.74167,0.74167,0.74167
5.6,0.77787,0.75226,0.75226,0.75226
5.7,0.78777,0.76265,0.76265,0.76265
5.8,0.79748,0.77284,0.77284,0.77284
5.9,0.80698,0.78285,0.78285,0.78285
6,0.81627,0.79265,0.79265,0.79265
6.1,0.82536,0.80225,0.80225,0.80225
6.2,0.83424,0.81165,0.81165,0.81165
6.3,0.84291,0.82084,0.82084,0.82084
6.4,0.85137,0.82983,0.82983,0.82983
6.5,0.85961,0.83861,0.83861,0.83861
6.6,0.86763,0.84717,0.84717,0.84717
6.7,0.87544,0.85552,0.85552,0.85552
6.8,0.88302,0.86365,0.86365,0.86365
6.9,0.89038,0.87156,0.87156,0.87156
7,0.89751,0.87925,0.87925,0.87925
7.1,0.90441,0.88672,0.88672,0.88672
7.2,0.91109,0.89397,0.89397,0.89397
7.3,0.91753,0.90099,0.90099,0.90099
7.4,0.92375,0.90778,0.90778,0.90778
7.5,0.92972,0.91434,0.91434,0.91434
7.6,0.93547,0.92067,0.92067,0.92067
7.7,0.94097,0.92676,0.92676,0.92676
7.8,0.94624,0.93262,0.93262,0.93262
7.9,0.95127,0.93825,0.93825,0.93825
8,0.95606,0.94364,0.94364,0.94364
8.1,0.9606,0.94878,0.94878,0.94878
8.2,0.9649,0.95369,0.95369,0.95369
8.3,0.96896,0.95836,0.95836,0.95836
8.4,0.97277,0.96278,0.96278,0.96278
8.5,0.97634,0.96696,0.96696,0.96696
8.6,0.97965,0.9709,0.9709,0.9709
8.7,0.98272,0.97458,0.97458,0.97458
8.8,0.98555,0.97803,0.97803,0.97803
8.9,0.98812,0.98122,0.98122,0.98122
9,0.99044,0.98417,0.98417,0.98417
9.1,0.99251,0.98686,0.98686,0.98686
9.2,0.99433,0.98931,0.98931,0.98931
9.3,0.99589,0.9915,0.9915,0.9915
9.4,0.99721,0.99345,0.99345,0.99345
9.5,0.99827,0.99514,0.99514,0.99514
9.6,0.99908,0.99658,0.99658,0.99658
9.7,0.99964,0.99777,0.99777,0.99777
9.8,0.99994,0.99871,0.99871,0.99871
9.9,0.99999,0.99939,0.99939,0.99939
10,0.99978,0.99982,0.99982,0.99982
10.1,0.99933,1,1,1
10.2,0.99862,0.99992,0.99992,0.99992
10.3,0.99765,0.99959,0.99959,0.99959
10.4,0.99644,0.999,0.999,0.999
10.5,0.99497,0.99817,0.99817,0.99817
10.6,0.99325,0.99708,0.99708,0.99708
10.7,0.99128,0.99574,0.99574,0.99574
10.8,0.98906,0.99414,0.99414,0.99414
10.9,0.98658,0.9923,0.9923,0.9923
11,0.98386,0.9902,0.9902,0.9902
11.1,0.98089,0.98785,0.98785,0.98785
11.2,0.97767,0.98525,0.98525,0.98525
11.3,0.9742,0.98241,0.98241,0.98241
11.4,0.97048,0.97931,0.97931,0.97931
11.5,0.96652,0.97596,0.97596,0.97596
11.6,0.96232,0.97237,0.97237,0.97237
11.7,0.95787,0.96853,0.96853,0.96853
11.8,0.95317,0.96445,0.96445,0.96445
11.9,0.94824,0.96012,0.96012,0.96012
12,0.94307,0.95555,0.95555,0.95555
12.1,0.93765,0.95074,0.95074,0.95074
12.2,0.932,0.94568,0.94568,0.94568
12.3,0.92612,0.94039,0.94039,0.94039
